thg_log10,mehg_log10,group
1.908485019,1.851258349,Dry_weight
1.86923172,1.672097858,Dry_weight
2.336459734,2.184691431,Dry_weight
1.851258349,1.612783857,Dry_weight
2.053078443,1.857332496,Dry_weight
1.633468456,1.505149978,Dry_weight
1.176091259,1.041392685,Dry_weight
2.620136055,2.245512668,Dry_weight
1.597695186,1.113943352,Dry_weight
1.975431809,1.860338007,Dry_weight
2.214843848,2.173186268,Dry_weight
2.025305865,1.932980822,Dry_weight
2.086359831,2,Dry_weight
2.229681842,2.157758886,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.84509804,1.439332694,Dry_weight
2.017033339,1.596597096,Dry_weight
1.754348336,1.212187604,Dry_weight
1.667452953,1.152288344,Dry_weight
1.983175072,1.643452676,Dry_weight
1.862131379,1.096910013,Dry_weight
2.031004281,1.836324116,Dry_weight
2.116275588,1.962369336,Dry_weight
1.952792443,1.553883027,Dry_weight
2.03702788,1.587710965,Dry_weight
1.798650645,1.307496038,Dry_weight
1.938519725,1.5132176,Dry_weight
1.984077034,1.532754379,Dry_weight
2.003460532,1.301029996,Dry_weight
2.024485668,1.663700925,Dry_weight
1.960946196,1.700703717,Dry_weight
1.883661435,1.621176282,Dry_weight
1.778874472,1.655138435,Dry_weight
1.705007959,1.5289167,Dry_weight
1.677606953,1.389166084,Dry_weight
2.087426457,1.673020907,Dry_weight
1.950851459,1.890979597,Dry_weight
2.228656958,1.915399835,Dry_weight
1.445604203,1.342422681,Dry_weight
1.752816431,1.662757832,Dry_weight
1.572871602,1.397940009,Dry_weight
1.896526217,1.551449998,Dry_weight
1.688419822,1.462397998,Dry_weight
1.660865478,1.079181246,Dry_weight
2.08278537,1.568201724,Dry_weight
2.037426498,1.915399835,Dry_weight
1.880241776,1.589949601,Dry_weight
1.871572936,1.696356389,Dry_weight
1.471291711,1.303196057,Dry_weight
1.434568904,1.193124598,Dry_weight
1.72916479,1.474216264,Dry_weight
1.667452953,1.519827994,Dry_weight
1.442479769,1.198657087,Dry_weight
1.951337519,1.419955748,Dry_weight
1.821513528,1.800029359,Dry_weight
1.946943271,1.661812686,Dry_weight
2.028164419,1.653212514,Dry_weight
1.621176282,1.621176282,Dry_weight
2.105169428,1.87909588,Dry_weight
1.897627091,1.7930916,Dry_weight
2.072617477,1.930439595,Dry_weight
1.904174368,1.359835482,Dry_weight
2.136403448,1.833784375,Dry_weight
2.315760491,2.30427505,Dry_weight
2.365487985,2.356981401,Dry_weight
2.09725731,2.086715664,Dry_weight
1.564666064,1.33243846,Dry_weight
1.383815366,1.11058971,Dry_weight
1.583198774,1.416640507,Dry_weight
1.697229343,1.40654018,Dry_weight
2.142076461,1.996073654,Dry_weight
2.475089803,2.28510703,Dry_weight
1.696356389,1.511883361,Dry_weight
2.593507589,2.434249452,Dry_weight
1.950851459,1.781755375,Dry_weight
1.873320602,1.752048448,Dry_weight
1.843232778,1.683047038,Dry_weight
1.840106094,1.669316881,Dry_weight
1.863917377,1.720985744,Dry_weight
1.91750551,1.699837726,Dry_weight
2.201943063,2.033021445,Dry_weight
2.433769834,2.267875419,Dry_weight
2.139249218,2.007747778,Dry_weight
2.31827208,2.1775365,Dry_weight
1.84260924,1.712649702,Dry_weight
2.026941628,1.909020854,Dry_weight
1.950851459,1.831869774,Dry_weight
1.860338007,1.739572344,Dry_weight
1.960470778,1.872738827,Dry_weight
2.123198075,2.005180513,Dry_weight
2.12515583,2.085290578,Dry_weight
2.115943177,2.055760465,Dry_weight
2.337858429,2.298853076,Dry_weight
1.882524538,1.816903839,Dry_weight
2.083144143,2.04060234,Dry_weight
2.25139485,2.212720154,Dry_weight
2.352375495,2.311329952,Dry_weight
2.641374945,2.614053106,Dry_weight
2.490239485,2.456669629,Dry_weight
2.335457901,2.2929203,Dry_weight
2.465531557,2.43679851,Dry_weight
2.098989639,2.058426024,Dry_weight
2.110926242,2.067814511,Dry_weight
2.188365926,2.122215878,Dry_weight
1.945960704,1.910090546,Dry_weight
2.124178055,2.095518042,Dry_weight
2.296884476,2.261024834,Dry_weight
1.916453949,1.876794976,Dry_weight
2.558828525,2.533009022,Dry_weight
2.092720645,2.051152522,Dry_weight
2.260548373,2.225825991,Dry_weight
2.084576278,2.040206628,Dry_weight
2.007320953,1.894869657,Dry_weight
1.940516485,1.80685803,Dry_weight
2.127752516,2.055378331,Dry_weight
1.689308859,1.324282455,Dry_weight
2.1430148,1.925827575,Dry_weight
1.605305046,1.340444115,Dry_weight
1.870403905,1.667452953,Dry_weight
1.748188027,1.687528961,Dry_weight
1.84135947,1.716003344,Dry_weight
2.481442629,2.46686762,Dry_weight
2.636487896,2.57863921,Dry_weight
2.217483944,2.146128036,Dry_weight
2.715167358,2.693726949,Dry_weight
1.988558957,1.910090546,Dry_weight
1.62838893,1.503790683,Dry_weight
2.255272505,2.230448921,Dry_weight
1.514547753,1.376576957,Dry_weight
2.08849047,2.075546961,Dry_weight
1.80140371,1.756636108,Dry_weight
2.373279893,2.367914739,Dry_weight
1.530199698,1.456366033,Dry_weight
2.160168293,2.067070856,Dry_weight
1.591064607,1.330413773,Dry_weight
2.465977368,2.459543258,Dry_weight
2.602059991,2.426511261,Dry_weight
2.784617293,2.431363764,Dry_weight
3.078456818,2.872738827,Dry_weight
2.883093359,2.64738297,Dry_weight
3.053846427,2.92788341,Dry_weight
1.733197265,1.217483944,Dry_weight
1.751279104,0.939519253,Dry_weight
1.285557309,0.763427994,Dry_weight
2.136720567,2.071882007,Dry_weight
2.079181246,2.056904851,Dry_weight
1.974511693,1.901458321,Dry_weight
2.31386722,2.227886705,Dry_weight
1.84260924,1.774516966,Dry_weight
2.498310554,2.444044796,Dry_weight
1.639486489,1.361727836,Dry_weight
2.113943352,1.859138297,Dry_weight
1.056904851,0.918030337,Dry_weight
1.96425963,1.481442629,Dry_weight
1.897077003,1.326335861,Dry_weight
2.255272505,2.149219113,Dry_weight
3.055378331,3.013258665,Dry_weight
0.939519253,0.672097858,Dry_weight
1.436162647,0.982271233,Dry_weight
1.190331698,0.851258349,Dry_weight
1.875292825,1.376576957,Dry_weight
0.748188027,0.079181246,Dry_weight
1.682866796,1.149219113,Dry_weight
1.354108439,0.447158031,Dry_weight
1.217483944,0.544068044,Dry_weight
1.103803721,0.716003344,Dry_weight
1.079181246,0.69019608,Dry_weight
1.079181246,0.662757832,Dry_weight
1.255272505,1,Dry_weight
0.591064607,0.176091259,Dry_weight
0.505149978,0.079181246,Dry_weight
0.322219295,-0.431798276,Dry_weight
1.176091259,0.698970004,Dry_weight
1.230448921,0.86923172,Dry_weight
1.643452676,1.462397998,Dry_weight
1.113943352,0.73239376,Dry_weight
1.113943352,0.77815125,Dry_weight
0.591064607,-0.031517051,Dry_weight
1.707570176,1.342422681,Dry_weight
1.255272505,0.929418926,Dry_weight
1.799340549,1.612783857,Dry_weight
1.041392685,0.826074803,Dry_weight
1.414973348,1.113943352,Dry_weight
0.819543936,0.397940009,Dry_weight
1.662757832,1.230448921,Dry_weight
1.72427587,1.361727836,Dry_weight
1.653212514,1.414973348,Dry_weight
1.431363764,0.924279286,Dry_weight
1.342422681,0.785329835,Dry_weight
0.755874856,0.230448921,Dry_weight
1.041392685,0.477121255,Dry_weight
1.255272505,0.875061263,Dry_weight
1.204119983,0.806179974,Dry_weight
0.924279286,0.477121255,Dry_weight
1.041392685,0.505149978,Dry_weight
0.431363764,-0.251811973,Dry_weight
1.666705136,1.215901813,Dry_weight
1.717836867,1.36567514,Dry_weight
1.662190991,1.408748606,Dry_weight
1.43264866,0.914871818,Dry_weight
1.356408327,0.763427994,Dry_weight
0.763427994,0.161368002,Dry_weight
1.666705136,1.215901813,Dry_weight
1.717836867,1.36567514,Dry_weight
1.662190991,1.408748606,Dry_weight
1.43264866,0.914871818,Dry_weight
1.356408327,0.763427994,Dry_weight
0.763427994,0.161368002,Dry_weight
1.666705136,1.215901813,Dry_weight
1.717836867,1.36567514,Dry_weight
1.662190991,1.408748606,Dry_weight
1.43264866,0.914871818,Dry_weight
1.356408327,0.763427994,Dry_weight
0.763427994,0.161368002,Dry_weight
2.710963119,2.252853031,Dry_weight
2.103803721,1.380211242,Dry_weight
2.380211242,2.004321374,Dry_weight
2,1.744449457,Dry_weight
1.775974331,1.42553422,Dry_weight
1.887842265,1.592620821,Dry_weight
1.919914481,1.62076049,Dry_weight
1.953518081,1.63447727,Dry_weight
1.71130096,1.499412126,Dry_weight
1.765594055,1.472024698,Dry_weight
1.776919003,1.48784512,Dry_weight
1.785329835,1.632153484,Dry_weight
1.87777435,1.536179532,Dry_weight
1.970439863,1.691258358,Dry_weight
1.628184508,1.32407658,Dry_weight
