province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Anhui,5579.788045,6873.136357,7730.738252,8608.534932,9339.959781,9813.316207,10752.78923,12051.87867,13704.32639,14746.3401,15144.33552,16891.17938,17753.18377,9685.845167,9497.614259,9316.501914,9684.744344,10056.57046,10447.41188,10826.19688,11223.77642,11545.96267,11885.20934,12210.61839,12552.64866,12880.23402,13177.78963,13475.97985,13790.06546,14088.79321,14388.01901,14657.57147,14928.7089,15202.43084,15479.34213,15698.0557,16030.60619,16212.89375,16400.87051,16751.96863,16953.94339,17168.92357,17391.88399,17623.27189,17862.58223,18109.30259,18362.24584,18620.1989,18719.27018,18982.66032,19247.19547,19346.68526,19610.35749,19874.23584,19969.19106,20228.70131,20316.18726,20569.34589,20649.15306,20897.19181,20971.74001,21044.23567,21287.81226,21357.79304,21426.93081,21670.54945,21740.51933,21811.80804,22061.40809,22137.67284,22216.56203,22476.28912,22560.4685,22646.63982,22734.08188,22822.59452,22911.8545,23184.41817,23275.80404,23367.32156,23459.26823,23551.67011,23643.36204,23734.66661,23826.25668,24106.79476,24200.74899,24295.21664,24390.40796,24486.57534,24583.71842
Beijing,19120.58758,21322.02702,23161.54845,25561.41673,27540.60263,29539.27858,32034.93263,35165.39237,38740.76278,41231.27546,41645.10458,47438.40883,47776.18621,30959.01819,32359.58632,33788.35288,35292.82396,36782.33639,38349.33581,39901.87929,41532.64268,42961.1329,44371.4344,45857.10672,47276.05534,48958.88922,50192.76891,51930.56691,53214.2109,54520.86263,56339.99334,57694.94778,59071.39861,60470.60222,61894.09518,63343.50427,64823.49812,66337.02138,67370.58564,68962.75008,70604.45262,71773.62026,72997.61765,74282.7123,76187.04764,77624.00032,79142.25956,80747.01222,82436.65219,84218.19953,86096.99236,87472.49141,89546.00116,91733.66136,93401.21081,95802.39849,98313.41684,100264.5774,102993.8033,105148.6823,108119.34,110490.8744,112959.5668,116291.5245,118961.9567,122513.4082,125351.866,128241.1913,132030.9481,135017.1669,138011.8638,140987.2827,144846.7092,147714.4571,150451.1399,153020.6624,155425.7889,158701.2056,160822.8853,162798.6337,164654.6954,166392.8651,168010.6984,169549.2761,172139.0814,173640.4314,175177.1912,176781.8342,178477.3788,180269.9272,182173.7529
Chongqing,7002.380671,8849.008125,10086.953,11261.4122,12599.54848,13790.22475,15449.56508,17129.59832,18355.82748,20013.86569,21157.17483,23647.45382,24462.16496,12643.5837,12360.43111,12118.31845,12617.39729,13156.50018,13702.84538,14223.30005,14785.2473,15253.586,15728.75993,16245.03484,16734.92585,17231.84923,17702.30132,18146.18008,18631.85274,19090.32693,19589.68113,20026.59392,20504.76216,20989.69248,21447.17934,21947.60956,22348.72377,22756.42226,23170.94698,23592.75564,24022.40056,24391.0395,24731.7785,25119.87296,25481.82191,25892.80936,26276.56276,26669.53185,27031.00758,27436.5388,27847.13741,28223.35409,28564.25194,28911.74273,29308.10052,29666.08556,30064.56767,30420.92237,30775.44175,31171.63185,31524.83865,31837.20519,32107.35117,32421.56028,32739.34883,33017.55177,33342.71705,33669.09947,33953.60027,34288.69901,34631.58389,34890.25799,35204.23678,35527.70209,35855.07117,36139.07698,36477.80431,36778.69939,37131.32676,37434.42988,37738.73445,38142.96978,38496.0509,38850.7014,39210.38922,39572.50013,39884.54767,40143.17211,40453.90647,40765.38033,41076.58807
Fujian,10191.29909,11999.55091,13367.58606,14768.12937,16221.49436,17290.80868,18932.76127,21465.93123,24371.98483,26451.19622,27030.81054,30587.61774,32662.48438,14975.26219,15078.50521,15191.17362,15798.62461,16412.83625,17058.03245,17685.50671,18319.35251,18885.18519,19455.68767,20030.94684,20586.39494,21170.71779,21686.82199,22207.9365,22734.44523,23266.53753,23804.86672,24301.04938,24681.04683,25241.8722,25812.72032,26395.04472,26740.40153,27349.70128,27723.92196,28114.00325,28775.51207,29202.14813,29648.5841,30115.59768,30604.12544,31114.46011,31645.77748,31929.39258,32498.38835,33085.54177,33689.67994,34029.60699,34659.14813,35303.83189,35674.45404,36340.13025,36721.34445,37402.09223,37790.82628,38484.50212,38879.27044,39585.28721,39987.26531,40391.61437,41117.6242,41531.06559,41947.54995,42366.71644,43119.91276,43547.68082,43975.28156,44401.29094,45171.57111,45598.60032,46019.49463,46432.6372,46836.38289,47231.2824,47980.68036,48362.07897,48740.40396,49116.08169,49486.21129,49854.20854,50224.39843,50598.39308,50978.93458,51366.93444,51764.59423,52173.36656,52992.17318
Gansu,3864.1864,4716.442047,5235.930444,5815.441831,6232.189035,6223.750431,6515.447278,6876.792801,7529.574723,8026.710832,8226.492223,9301.756728,10154.74274,6402.64992,6843.527544,7250.60672,7517.84678,7824.389961,8134.935634,8414.096231,8733.144499,8984.870189,9275.62784,9534.340328,9796.224286,10096.7904,10328.8181,10598.83451,10835.32848,11073.57998,11349.49249,11591.71468,11799.76067,12046.92451,12297.87595,12552.7338,12738.88615,12966.41203,13199.06079,13400.78543,13645.828,13823.3871,14007.48413,14236.18326,14433.99208,14638.36064,14809.82378,15024.78373,15243.80616,15426.89758,15651.19401,15838.15601,16026.75635,16218.50081,16412.19037,16566.52035,16762.33761,16918.02442,17116.23645,17316.97804,17477.78692,17641.88282,17808.16428,17977.5817,18150.16875,18325.63175,18503.47433,18683.9622,18867.08657,19053.82154,19243.34792,19435.87109,19584.89628,19782.12296,19980.79967,20133.64962,20334.33262,20488.43469,20642.9311,20846.63341,21002.87038,21159.38081,21364.78016,21521.77944,21680.84024,21841.87602,22056.35841,22220.60649,22385.60941,22552.1278,22773.29727
Guangdong,11023.7245,12426.39591,13123.79967,14266.69,15382.50335,16650.6955,18156.32337,20068.82,21601.33664,23196.24541,23667.52191,26336.54672,27064.40494,16350.49336,17414.75315,18481.61431,19225.69487,19896.61053,20577.02718,21348.14857,22047.75048,22674.12032,23388.76138,24029.70363,24676.79846,25329.30012,25905.63258,26486.05199,27070.45629,27657.48372,28165.46828,28757.34422,29351.56721,29868.54495,30471.8188,31080.59267,31533.70325,31996.14383,32469.78731,32956.55959,33458.16525,33894.30839,34348.98184,34741.43103,35239.07566,35675.8005,36134.94348,36616.94917,37121.98036,37649.92745,38199.03372,38681.08381,39182.30301,39703.90594,40243.80906,40800.38172,41279.70877,41863.12156,42458.91233,42972.57488,43590.63937,44219.60887,44759.97372,45404.54595,45956.74585,46613.12633,47070.57682,47629.01973,48084.17827,48641.97846,49094.72017,49649.98248,50095.49775,50644.39267,51187.17656,51722.74518,52252.11544,52664.43314,53181.13649,53692.79687,54201.23469,54591.3811,55090.7014,55471.00371,55965.46182,56340.05373,56713.53618,57088.32728,57345.20794,57725.56379,58109.81847
Guangxi,4649.772104,5569.448475,6054.213061,6596.474958,7126.242281,7664.927231,8253.559986,9012.194752,9835.860283,10525.39404,10850.05458,12261.42007,12673.29749,7267.226723,7457.812489,7648.934432,7933.869832,8199.609513,8483.547764,8748.763572,9032.148866,9259.564885,9485.749171,9692.896838,9916.706823,10139.15952,10325.02248,10509.93015,10693.98116,10877.01761,11058.90189,11205.44825,11368.76348,11514.83279,11661.43405,11825.75059,11956.85108,12072.29598,12206.37025,12342.65837,12481.18567,12554.5177,12647.53463,12726.95907,12826.30535,12911.96788,12983.50784,13057.64994,13134.10942,13212.5808,13292.28015,13356.35451,13438.07832,13504.58098,13588.74414,13656.85392,13708.4188,13759.68613,13810.54343,13861.10321,13911.12194,13944.08097,13976.36953,14008.2609,14039.85531,14071.35642,14102.81657,14134.21719,14182.22405,14214.02167,14246.38617,14262.84684,14280.1077,14298.24394,14300.64949,14320.99805,14342.65582,14382.28631,14406.3292,14431.42828,14457.66354,14484.8957,14496.26597,14525.63449,14556.30219,14571.23201,14603.82634,14620.43918,14654.82456,14690.10961,14709.31853
Guizhou,3251.933692,4066.348972,4852.66059,5695.155038,6492.378301,7383.721077,8198.237822,9347.440641,10439.50733,11260.6239,11872.22245,12786.1477,13086.90696,6154.330926,5712.166519,5306.47309,5459.460601,5637.907749,5817.234423,5997.741923,6179.640402,6337.961507,6496.736648,6655.912557,6791.40273,6950.258654,7084.841137,7218.412765,7327.221435,7457.612533,7585.741018,7688.552838,7788.965048,7909.98573,8006.227348,8100.613318,8171.246153,8218.88719,8288.49583,8358.166079,8406.161056,8454.758227,8482.679372,8533.944731,8565.111338,8597.79749,8631.995177,8667.360198,8703.408632,8718.504641,8754.63068,8790.166306,8803.734266,8816.580983,8849.314624,8859.611636,8847.468705,8854.367521,8859.340904,8842.176666,8843.910896,8823.949321,8802.907752,8781.143984,8759.021792,8736.893712,8714.988106,8693.532739,8672.70128,8652.756936,8633.7404,8615.746441,8598.743038,8582.700224,8567.396227,8552.766032,8519.704727,8506.16026,8473.958582,8460.692768,8428.339449,8395.547449,8380.689183,8346.495875,8330.142723,8294.676988,8258.699901,8240.468738,8203.606189,8166.522202,8129.14509
Hainan,5839.016241,7010.10767,7815.924558,8600.704131,9378.708454,10004.65127,10746.77439,11736.35778,12598.10131,13541.3035,13865.88853,16065.80396,16667.60077,6726.681392,6730.662514,6738.549151,6968.564428,7198.589252,7429.364644,7659.325864,7889.169432,8075.864547,8262.265167,8447.069757,8630.46609,8812.409188,8929.187915,9146.003368,9273.03516,9398.717075,9609.780575,9732.977905,9855.208139,9977.326738,10099.66331,10222.67176,10262.7301,10388.70165,10516.60221,10563.69103,10697.03541,10737.92863,10782.38731,10830.79056,10965.04328,11021.29706,11081.19821,11144.35527,11129.33144,11198.31551,11269.56151,11343.01362,11418.26422,11414.26185,11492.3412,11571.28128,11569.73655,11649.10093,11647.67435,11727.00819,11806.19691,11804.51974,11802.59879,11881.48486,11879.41089,11877.40674,11956.40855,11954.7532,11953.58295,12033.94121,12034.54285,12036.20231,12039.03524,12123.92102,12128.93936,12134.8944,12141.8803,12149.75595,12239.53003,12249.11918,12259.58129,12270.6765,12282.0945,12293.91911,12305.9711,12318.06986,12412.00136,12424.50783,12436.97542,12449.50579,12462.13601
Hebei,6276.598128,7408.833372,7927.501925,8267.349999,8519.948631,8849.135093,9466.618872,10104.25207,10633.04305,11381.63615,11638.13453,12969.02695,13558.25333,10851.9291,11997.54706,13083.03913,13703.37087,14202.28906,14833.19238,15342.07405,15855.78411,16372.3504,16891.3073,17412.93795,17809.01173,18333.55614,18859.48368,19258.85277,19659.70004,20061.47911,20592.30372,20997.57077,21405.10135,21816.82316,22233.82351,22527.75232,22957.04543,23264.5574,23709.61889,24033.95205,24497.41692,24711.04486,25064.39483,25426.99902,25665.45803,26043.25527,26294.17879,26683.56465,26943.09056,27205.196,27605.03065,27870.46948,28136.021,28402.86525,28669.76646,28935.64205,29201.05318,29466.43526,29732.55343,29858.67042,30127.21843,30398.48171,30527.88299,30801.62008,31076.41249,31206.83614,31482.4486,31612.73232,31889.32962,32018.74498,32294.36772,32419.97731,32543.05704,32812.72229,32928.28733,33191.08639,33300.36194,33407.8186,33514.36626,33773.57365,33881.39323,33990.57363,34100.95562,34215.31434,34489.36935,34612.64475,34740.31396,34872.96697,35010.90945,35153.86991,35301.77796
Heilongjiang,5428.826248,6503.714065,7203.276677,7733.095616,7924.751754,7598.945007,7716.405225,7990.892348,8319.037034,8753.211189,8829.300804,9608.668135,10292.0871,11320.81151,13217.46456,15157.9533,15838.64322,16532.70062,17267.77687,17992.13497,18759.78077,19437.44183,20130.67235,20841.53159,21570.38242,22318.19075,23030.62369,23734.98026,24489.00229,25265.62778,26065.44302,26833.32964,27595.73487,28413.69529,29258.96072,30102.09985,30881.75955,31626.99733,32686.83637,33463.3524,34271.89921,35119.41396,35999.59452,36916.72725,37869.8192,38860.62897,39529.00543,40585.08482,41678.85401,42808.56947,43584.81308,44781.13222,46004.75505,46865.10739,48177.071,49528.03592,50486.03815,51459.60327,52896.4908,53923.46688,55437.63283,56526.27424,57633.67186,58763.85926,60415.36165,61585.73412,62761.12223,64471.48884,65659.42575,66865.09575,68655.57361,69909.44091,71164.94032,72446.12992,73722.70726,74994.50757,76272.50992,78209.46861,79555.41073,80924.90189,82338.48252,83778.23207,85175.05933,86549.61312,87917.84385,89281.90347,90647.3659,92012.22431,94139.36878,95530.94675,96926.40886
Henan,6040.629251,6937.830875,7599.381699,8237.116609,8924.72943,9497.854466,10243.68957,11268.92945,12477.08621,13368.48022,13361.11541,14236.95397,14912.2829,9813.165129,10137.22077,10557.77104,10979.18474,11307.74462,11733.24742,12161.45036,12592.86961,12933.24101,13275.76023,13620.92196,13968.12498,14317.53405,14576.9164,14930.60517,15194.75378,15552.8694,15820.71771,16183.37664,16455.26841,16729.05547,17004.44949,17280.64396,17558.36518,17745.5508,18026.35276,18219.61409,18507.15795,18710.02024,18823.96451,19034.39125,19248.46533,19466.17753,19594.89932,19819.97526,19955.4315,20093.77944,20327.78069,20470.40964,20614.656,20762.39613,20912.9882,21064.97092,21218.34904,21373.60079,21531.25439,21691.76577,21854.12768,21922.54691,22088.24346,22158.3595,22326.23779,22397.11051,22567.28583,22739.26431,22814.79183,22992.40252,23072.69571,23154.55224,23337.36779,23421.70645,23505.94309,23691.29034,23776.98722,23865.93975,23958.36258,24157.21466,24255.34591,24356.53431,24456.57083,24554.8388,24757.63975,24854.19277,24949.44513,25044.60938,25142.69438,25251.75951,25354.88486
Hubei,7110.694665,8719.272456,9822.233198,10949.31829,12092.83402,12880.25522,14061.07279,15578.38928,17411.09633,18782.80101,17690.7631,20539.41458,21921.71823,11366.10844,11310.59792,11264.55962,11742.94595,12228.76976,12722.00525,13222.46293,13713.824,14145.72032,14598.57646,15039.89826,15485.18819,15933.85873,16336.42381,16790.93827,17165.80991,17542.85795,17922.30293,18305.62441,18692.5986,19083.90046,19480.86354,19883.64328,20293.74142,20542.19267,20968.41303,21403.69178,21676.72048,21963.37947,22433.8794,22742.37693,23060.66456,23389.12247,23725.16865,24069.27828,24420.50238,24775.84058,24949.00039,25304.85843,25663.64894,25841.31794,26208.13517,26573.52873,26745.41025,27105.47913,27270.45333,27629.96234,27793.39471,28152.58116,28313.45369,28472.48767,28828.88481,28983.24424,29135.30777,29488.89162,29637.82072,29786.14452,30139.77133,30284.48498,30425.50908,30563.01768,30694.91479,30821.76938,31154.8862,31273.2861,31389.40191,31501.86626,31613.99986,31941.48596,32048.18453,32152.23894,32256.77228,32359.2931,32458.99261,32554.43046,32649.03529,32745.47752,32844.83885
Hunan,5936.004213,7207.546721,8038.73745,8861.515717,9672.77004,10577.53504,11354.85782,12373.66676,13195.5377,14416.75414,14912.98111,16414.46343,17345.66584,9678.91222,9708.984702,9757.766823,10148.2286,10541.50073,10951.59535,11350.16275,11765.34203,12111.90084,12445.68415,12795.35441,13146.20721,13498.09229,13809.06405,14163.84988,14451.12495,14740.43608,15031.77056,15326.59928,15624.33095,15926.04497,16232.22321,16542.87085,16858.6489,17038.62361,17366.73568,17701.53656,17899.82448,18108.5767,18323.57656,18691.24565,18921.0223,19156.7724,19397.3462,19494.67441,19742.66754,19993.19784,20244.07031,20495.1267,20594.39544,20847.96019,21103.94265,21359.69946,21459.91956,21712.53427,21808.05642,22060.11704,22154.81815,22249.1091,22500.14407,22592.94127,22685.65066,22939.56837,23033.45477,23126.81118,23381.93707,23476.17072,23571.14039,23665.76874,23924.96945,24020.50709,24113.81802,24204.97023,24294.87396,24384.58356,24643.56668,24734.83159,24828.17711,24923.39258,25015.89195,25106.09604,25196.42555,25461.4229,25556.33445,25653.07314,25752.14843,25854.53867,25959.72851
Inner_Mongolia,8297.481803,9513.433631,10439.68361,11283.20439,12000.12968,12671.38488,13453.88115,14424.07938,15541.69541,16500.25085,16465.2607,20124.90656,21956.54716,13595.93324,14552.86876,15516.59743,16149.31818,16828.78585,17480.24525,18179.35907,18851.70737,19458.03026,20073.63647,20699.22673,21334.25499,21979.15472,22557.43519,23145.41392,23743.97197,24352.82845,24972.40627,25564.55651,26167.82194,26783.90106,27414.044,28059.03492,28598.86525,29194.41152,29765.80047,30396.12586,31003.92067,31505.26148,32067.10924,32606.59554,33165.32579,33788.16195,34342.42157,34912.60131,35497.07158,36139.00627,36748.26152,37323.86588,37953.08951,38548.67494,39201.75498,39811.63218,40373.46183,40933.36535,41490.94094,42050.49662,42558.28167,43068.21217,43575.57186,44080.53629,44581.48344,45078.15013,45567.82565,46050.02165,46522.77831,46993.34601,47462.24351,47873.3528,48282.39578,48690.67777,49091.4279,49488.13535,49878.99735,50268.56867,50716.15116,51102.25809,51489.05946,51815.88501,52191.99496,52566.55766,52881.33942,53255.91362,53630.56557,53942.46022,54316.8267,54629.80419,55005.22111
